Том,№,Субъект,,,Карта 69,Карта 70,Карта 71,Карта 72,Карта 73,Карта 74,Карта 75,Карта 76,Карта 77,Карта 78,Карта 79,Карта 80,Карта 81,Карта 82,Карта 83,Карта 84,Карта 85,Карта 87,Карта 88,Карта 89,Карта 90,Карта 91,Карта 92,Карта 93,Карта 94,Карта 95,Карта 96,Карта 97,Карта 98,Карта 99,Карта 100,Карта 101,Карта 102,Карта 103,Карта104,Карта 105,Карта 106,Карта 107,Карта 108,Карта 109,Карта 110,Карта 111,Карта 112,Карта 113,Карта 114,Карта 115,Карта 116,Карта 117,Карта 118
2,302,16,с,Нижние Чершилы,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,8,1,8,1,1,1,1,1,11,1,1,1,7,1,1,18,1,1,1,1,1,1,1,1,1
2,21,16,с,Иж-Бобья,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,7,1,1,7,1,7,1,8,1,2,1,1,1,1,1,3,2,1,1,1,1,1,2,2,1,11,1,1,2,1,1,1
1,145,16,с,Янчиково,1,1,1,1,1,1,1,1,2,8,1,1,7,3,6,1,1,2,1,1,8,1,8,8,8,1,2,1,1,1,3,1,3,2,1,1,1,1,1,8,8,1,1,2,2,2,7,1,1
1,101,16,с,Старый Юмралы,2,1,1,1,1,1,1,1,8,2,8,1,8,3,2,2,1,2,8,1,1,8,1,2,7,1,2,1,1,1,1,2,1,2,1,1,7,1,2,1,8,1,1,1,7,1,1,1,1
2,140,16,с,Кряш-Шуран,1,1,7,1,1,1,1,1,1,1,2,1,2,2,1,1,1,7,1,1,8,1,8,1,8,1,8,1,1,1,2,1,3,2,1,1,7,1,1,8,7,1,1,7,1,1,1,1,1
2,307,16,с,Старое Шугурово,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,1,1,1,1,1,1,1,1,1,8,1,8,1,1,1,1,1,11,1,1,1,7,1,1,1,7,7,1,1,1,1,1,1,1
2,308,16,с,Сугушла,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,1,1,1,1,1,1,1,1,8,8,1,8,1,1,1,1,1,11,1,1,1,7,1,1,18,7,7,1,1,1,1,1,1,1
2,151,16,,Татар. Шуган,1,1,1,1,1,1,1,1,1,8,1,1,1,6,1,1,1,7,8,1,8,1,8,1,1,1,8,1,8,1,1,1,3,2,1,1,2,1,1,18,7,1,1,1,1,1,1,1,1
2,298,16,с,Старый Каразерик,1,1,1,1,1,1,1,1,6,1,2,1,1,2,1,1,1,7,1,1,1,1,1,1,1,1,8,1,8,1,1,1,3,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1
2,146,16,с,Салауз-Мухан,1,1,1,1,1,1,1,1,1,8,2,1,1,6,6,1,1,7,8,2,8,1,8,1,8,1,8,1,8,1,2,1,3,2,1,1,7,1,1,1,7,1,1,7,1,1,7,1,1
2,164,16,с,Учалле,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,7,8,1,1,1,8,1,8,1,8,1,8,1,1,1,3,2,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1
2,139,16,с,Нижний Табын,1,1,1,1,1,1,1,1,1,1,2,1,1,1,6,1,1,7,8,1,8,1,8,1,8,1,8,1,8,1,2,1,3,2,1,1,1,1,1,8,7,1,1,7,1,1,1,1,1
2,150,16,с,Баюково,1,1,1,1,2,1,1,1,1,1,2,1,1,6,1,1,1,7,1,2,8,1,8,8,1,1,8,1,1,1,1,1,3,2,1,1,1,1,1,18,7,1,1,1,1,2,1,1,1
2,141,16,с,Старые Карамалы,1,1,1,1,2,1,1,1,1,1,2,1,1,6,1,1,1,7,1,1,8,1,8,1,1,1,8,1,8,1,3,1,3,2,1,1,7,1,1,18,7,1,1,1,1,1,1,1,1
2,299,16,с,Байряки-Тамак,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,7,1,1,1,1,1,1,8,1,8,1,8,1,1,1,3,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1
2,166,16,с,Верхнее Стярле,1,1,1,1,1,1,1,1,6,1,1,1,1,6,6,1,1,7,1,1,1,1,8,1,8,1,8,1,8,1,1,1,3,2,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1
2,163,16,с,Сарлы,1,1,1,1,1,1,1,1,6,1,2,1,1,6,6,1,1,7,1,1,8,1,8,1,8,1,8,1,8,1,1,1,3,2,1,1,1,1,1,8,7,1,1,1,1,1,1,1,1
2,300,16,с,Каракашлы,1,1,1,1,8,1,1,1,6,1,1,1,1,2,1,1,1,7,1,1,1,1,1,1,8,1,8,1,8,1,1,1,3,1,1,1,1,1,1,8,7,1,11,1,1,1,1,1,1
2,294,16,с,Карамалы,1,1,1,1,1,1,1,1,6,8,1,1,1,6,1,1,1,7,7,1,1,1,8,1,8,1,8,1,8,1,1,1,3,2,1,1,7,1,1,8,7,1,11,1,1,1,1,1,1
2,290,16,с,Асеево,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,7,8,1,1,1,8,1,8,1,8,1,8,1,1,1,3,2,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1
2,161,16,с,Большой Сухояш,1,1,1,1,1,1,1,1,6,1,1,1,1,6,6,1,1,7,1,2,8,1,8,1,8,1,8,1,8,1,1,1,3,2,1,1,2,1,1,8,7,1,1,1,1,1,1,1,1
2,147,16,с,Тойгильдино,1,1,1,1,1,1,1,1,1,1,2,1,1,6,6,1,1,7,1,1,8,1,8,1,8,1,8,1,8,1,2,1,3,2,1,1,7,1,1,8,7,1,1,7,1,1,1,1,1
2,293,16,с,Балтачево,1,1,1,1,8,1,1,1,6,1,1,1,1,6,1,1,1,7,7,1,1,1,8,1,8,1,8,1,8,1,1,1,3,2,1,1,1,1,1,8,7,1,1,1,1,1,1,1,1
2,160,16,с,Масягутово,1,1,1,1,1,1,1,1,6,1,2,1,1,6,1,1,1,7,1,1,8,1,8,1,8,1,8,1,8,1,1,1,3,2,1,1,2,1,1,8,7,1,1,1,1,2,1,1,1
2,145,16,с,Кавзияково,1,1,1,1,1,1,1,1,1,1,2,1,1,6,6,1,1,7,1,1,8,1,8,1,8,1,8,1,1,1,2,1,3,2,1,1,7,1,1,18,7,1,1,7,1,2,1,1,1
2,165,16,с,Мальбагуш,1,1,1,1,1,1,1,1,1,8,1,1,1,6,1,1,1,7,1,1,1,1,8,1,7,1,1,1,8,1,1,1,3,7,1,1,1,1,1,8,7,1,11,1,1,2,1,1,1
2,148,16,с,Иляксаз,1,1,1,1,1,1,1,1,1,8,2,1,1,6,1,1,1,7,1,1,8,1,8,1,8,1,8,1,8,1,2,1,3,2,1,1,1,1,1,18,8,1,1,7,8,2,7,1,1
2,159,16,с,Сулеево,1,1,1,1,1,1,1,1,6,8,2,1,1,6,6,1,1,7,1,2,8,1,8,1,8,1,8,1,8,1,1,1,3,2,1,1,1,1,1,8,7,1,1,7,8,1,1,1,1
2,292,16,с,Бишмунча,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,7,1,2,8,1,8,1,8,1,8,1,8,1,1,1,3,2,1,1,7,1,1,8,7,1,1,1,1,1,1,1,1
2,152,16,с,Новый Имян,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,7,1,1,8,1,8,1,8,1,8,1,1,1,2,1,3,2,1,1,2,1,1,8,7,1,1,7,8,1,1,1,1
2,205,16,с,Старое Байсарово,1,1,1,1,8,1,1,1,1,1,2,1,1,6,1,1,1,7,1,1,1,1,8,1,1,1,8,1,1,1,1,1,3,2,1,1,1,1,1,8,8,1,1,1,1,1,1,1,1
2,130,16,с,Старое Сафарово,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,7,8,2,8,1,1,1,1,1,8,1,8,1,1,1,3,2,1,1,6,1,1,8,7,1,1,1,8,1,1,1,1
2,121,16,с,Татарские Суксы,1,1,1,1,2,1,1,1,6,1,2,1,1,6,1,1,1,7,1,1,8,1,8,1,8,1,8,1,1,1,3,1,3,2,1,1,6,1,1,8,7,1,1,7,8,2,1,1,1
2,125,16,с,Старое Курмашево,1,1,1,1,2,1,1,1,1,1,2,1,1,6,1,1,1,7,8,1,8,1,8,1,8,1,8,1,1,1,3,1,3,2,1,1,6,1,1,8,7,1,1,7,8,2,1,1,1
2,126,16,с,Атясево,1,1,1,1,2,1,1,1,1,1,2,1,1,6,1,1,1,7,1,1,8,1,1,1,1,1,8,1,1,1,3,1,3,2,1,1,6,1,1,8,2,1,1,7,8,2,1,1,1
2,135,16,с,Исансупово,1,1,1,1,8,1,1,1,1,1,2,1,1,6,6,1,1,7,8,1,8,1,8,1,1,1,1,1,8,1,3,1,3,2,1,1,6,1,1,8,8,1,1,7,8,2,1,1,1
2,136,16,с,Семяково,1,1,1,1,8,1,1,1,1,1,2,1,1,6,1,1,1,7,8,2,8,1,8,1,8,1,8,1,8,1,3,1,3,2,1,1,6,1,1,18,7,1,1,1,1,2,1,1,1
2,134,16,с,Старый Иркеняш,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,7,8,1,8,1,8,8,8,1,8,1,8,1,2,1,3,2,1,1,7,1,1,8,7,1,1,7,1,2,1,1,1
