Том,№,Субъект,,,Карта 1,Карта 2,Карта 3,Карта 4,Карта 5,Карта 6,Карта 7,Карта 8,Карта 9,Карта 10,Карта 11,Карта 12,Карта 13,Карта 14,Карта 15,Карта 16,Карта 17,Карта 18,Карта 19,Карта 20,Карта 21,Карта 22,Карта 23,Карта 24,Карта 25,Карта 26
2,120,16,,Нижние Гордалы,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,109,16,с,Штырь,1,1,1,1,1,3,9,1,1,3,1,1,1,1,2,11,1,1,1,1,4,1,3,1,1,1
2,109,16,д,Псеево,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,11,1,1,1,4,1,6,6,2,1,1
2,114,16,с,Бизяки,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,6,6,2,1,1
2,113,16,с,Старое Гришкино,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,112,16,д,Абалачи,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,11,1,1,1,4,1,6,6,2,1,1
2,118,16,с,Морты,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,6,6,2,1,1
2,117,16,с,Большой Шурняк,1,1,1,1,3,1,1,1,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,147,16,с,Мокрые Курнали,1,1,1,1,1,1,8,1,1,3,1,1,1,1,3,11,1,1,1,1,1,1,1,1,8,1
1,111,16,с,Альвидино,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,114,16,с,Большой Салтан,1,1,1,1,6,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,118,16,с,Большой Ошняк,1,1,1,1,6,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,117,16,с,Татарский Янтык,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,122,16,с,Большая Елга,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,108,16,с,Ямашурма,2,1,1,1,1,3,9,1,1,1,1,1,1,1,1,11,1,1,3,1,4,7,3,1,1,1
1,113,16,с,Шали,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,116,16,с,Пелево,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,121,16,с,Именьково,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,115,16,с,Кирби,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,120,16,с,Курманаково,1,1,1,1,6,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,123,16,с,Татарские Саралы,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,119,16,д,Татарский Кабан,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,207,16,с,Татарские Шатрашаны,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,206,16,с,Старые Чукалы,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,205,16,с,Большая Цильна,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,3,1,2,12,10,1,1,2,2
1,204,16,с,Старая Задоровка,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,202,16,д,Мочалей,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,203,16,с,Старое Шаймурзино,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,3,1,2,12,10,1,1,2,2
1,201,16,с,Новые Ишли,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,200,16,д,Татарские Тюки,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,199,16,с,Энтуганы,2,4,2,1,1,4,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,77,16,с,Чутеево,2,1,2,1,1,4,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,76,16,с,Хозесаново,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,12,10,1,2,8,1
1,75,16,с,Старое Тябердино,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,12,10,1,6,8,1
1,56,16,с,Нижний Искубаш,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,8,1,1
1,30,16,с,Кугунур,1,1,1,1,6,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,8,1,1
1,31,16,с,Арбор,1,1,1,1,6,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,8,1,1
1,32,16,с,Нуринер,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,8,1,1
1,33,16,с,Верхний Субаш,1,1,1,1,6,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,8,1,1
1,35,16,с,Янгулово,1,1,1,1,6,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,8,1,1
1,37,16,с,Мамашир,1,1,1,1,1,1,1,8,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,8,1,1
1,40,16,с,Бурбаш,1,1,1,1,6,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,8,1,1
1,38,16,с,Норма,1,1,1,1,1,1,1,7,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,39,16,д,Карадуван,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,42,16,с,Туембаш,1,1,1,1,1,1,1,7,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,8,1,1
1,44,16,с,Байлянгар,1,1,1,1,1,1,1,7,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,45,16,с,Сиза,1,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,46,16,с,Верхняя Корса,1,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,47,16,с,Измя,1,1,1,1,6,1,1,7,1,3,1,1,1,1,1,11,1,1,6,1,1,1,2,1,1,1
1,48,16,с,Евлаштау,1,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,8,1,1
1,50,16,с,Псяк,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,8,1,1
1,53,16,с,Урясьбаш,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,52,16,с,Кильдебяк,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,8,1,1
1,51,16,с,Старый Мичан,1,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,19,16,с,Большие Верези,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,11,1,1,2,1,3,7,3,1,1,1
1,11,16,с,Сардебаш,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,13,16,с,Апазово,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,6,1,1,1,2,8,1,1
1,18,16,с,Средний Пшалым,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,24,16,д,Мендюш,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,28,16,с,Качелино,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,10,16,с,Байкал,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11,1,1,2,1,1,1,2,1,1,1
1,16,16,с,Ашитбаш,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,2,1,1,1,2,1,1,1
1,23,16,с,Утар-Аты,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,1,3,1,1,1,2,8,1,1
1,17,16,с,Большой Менгер,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,2,1,4,7,2,1,1,1
1,12,16,с,Ключи-Сап,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11,1,1,2,1,1,1,2,1,1,1
1,15,16,с,Кубян,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,2,1,1,1,2,1,1,1
1,22,16,с,Коморгузя,2,1,1,1,1,3,9,1,1,1,1,1,1,1,1,11,1,1,2,1,3,7,3,1,1,1
1,27,16,с,Ташлы-Ковали,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,11,1,1,2,1,3,7,3,1,1,1
1,14,16,с,Ислейтар,3,1,1,1,1,3,1,1,1,1,1,1,1,1,2,11,1,1,2,1,4,7,2,8,1,1
1,21,16,д,Малый Сулабаш,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,11,1,1,2,1,2,2,8,1,1,1
1,26,16,с,Альдермыш,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,7,8,1,1,1
1,20,16,с,Большой Битаман,2,1,1,1,1,3,9,1,1,1,1,1,1,1,1,11,1,1,2,1,3,7,8,1,1,1
1,25,16,с,Большие Ковали,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,8,1,1,1
